elapsed, window, total, successful, failed
10, 10, 1950, 1950, 0
20, 10, 1907, 1907, 0
30, 10, 1935, 1935, 0
40, 10, 1956, 1956, 0
50, 10, 1929, 1929, 0
60, 10, 1926, 1926, 0
70, 10, 1867, 1867, 0
80, 10, 1870, 1870, 0
90, 10, 1815, 1815, 0
100, 10, 1956, 1956, 0
110, 10, 1927, 1927, 0
120, 10, 1936, 1936, 0
130, 10, 1942, 1942, 0
140, 10, 1997, 1997, 0
150, 10, 1870, 1870, 0
160, 10, 1914, 1914, 0
170, 10, 1970, 1970, 0
180, 10, 1926, 1926, 0
190, 10, 1898, 1898, 0
200, 10, 1930, 1930, 0
210, 10, 1937, 1937, 0
220, 10, 1930, 1930, 0
230, 10, 1931, 1931, 0
240, 10, 1915, 1915, 0
250, 10, 1970, 1970, 0
260, 10, 1920, 1920, 0
270, 10, 1919, 1919, 0
280, 10, 1934, 1934, 0
290, 10, 1995, 1995, 0
300, 10, 1886, 1886, 0
310, 10, 1900, 1900, 0
320, 10, 1914, 1914, 0
330, 10, 1937, 1937, 0
340, 10, 1934, 1934, 0
350, 10, 1906, 1906, 0
360, 10, 1870, 1870, 0
370, 10, 1928, 1928, 0
380, 10, 1911, 1911, 0
390, 10, 1948, 1948, 0
400, 10, 2020, 2020, 0
410, 10, 1878, 1878, 0
420, 10, 1939, 1939, 0
430, 10, 1927, 1927, 0
440, 10, 1893, 1893, 0
450, 10, 1885, 1885, 0
460, 10, 1880, 1880, 0
470, 10, 1915, 1915, 0
480, 10, 1934, 1934, 0
490, 10, 1956, 1956, 0
500, 10, 1965, 1965, 0
510, 10, 1926, 1926, 0
520, 10, 1965, 1965, 0
530, 10, 1950, 1950, 0
540, 10, 1989, 1989, 0
550, 10, 1945, 1945, 0
560, 10, 1950, 1950, 0
570, 10, 1895, 1895, 0
580, 10, 1979, 1979, 0
590, 10, 1874, 1874, 0
600, 10, 1965, 1965, 0
601, 1, 151, 151, 0
