elapsed, window, total, successful, failed
10, 10, 8036, 8036, 0
20, 10, 9056, 9056, 0
30, 10, 9057, 9057, 0
40, 10, 8947, 8947, 0
50, 10, 8959, 8959, 0
60, 10, 9104, 9104, 0
70, 10, 9029, 9029, 0
80, 10, 9069, 9069, 0
90, 10, 9024, 9024, 0
100, 10, 9070, 9070, 0
110, 10, 9066, 9066, 0
120, 10, 9004, 9004, 0
130, 10, 8971, 8971, 0
140, 10, 9069, 9069, 0
150, 10, 9100, 9100, 0
160, 10, 9062, 9062, 0
170, 10, 8940, 8940, 0
180, 10, 8970, 8970, 0
190, 10, 9073, 9073, 0
200, 10, 9009, 9009, 0
210, 10, 8995, 8995, 0
220, 10, 9074, 9074, 0
230, 10, 9021, 9021, 0
240, 10, 8939, 8939, 0
250, 10, 9113, 9113, 0
260, 10, 8939, 8939, 0
270, 10, 9074, 9074, 0
280, 10, 8971, 8971, 0
290, 10, 8950, 8950, 0
300, 10, 9026, 9026, 0
310, 10, 8962, 8962, 0
320, 10, 8873, 8873, 0
330, 10, 9035, 9035, 0
340, 10, 9013, 9013, 0
350, 10, 9151, 9151, 0
360, 10, 8958, 8958, 0
370, 10, 9034, 9034, 0
380, 10, 8988, 8988, 0
390, 10, 9027, 9027, 0
400, 10, 8997, 8997, 0
410, 10, 8960, 8960, 0
420, 10, 9134, 9134, 0
430, 10, 9109, 9109, 0
440, 10, 9205, 9205, 0
450, 10, 9112, 9112, 0
460, 10, 9026, 9026, 0
470, 10, 9101, 9101, 0
480, 10, 8939, 8939, 0
490, 10, 9058, 9058, 0
500, 10, 8978, 8978, 0
510, 10, 8977, 8977, 0
520, 10, 9110, 9110, 0
530, 10, 9057, 9057, 0
540, 10, 8982, 8982, 0
550, 10, 9100, 9100, 0
560, 10, 9044, 9044, 0
570, 10, 9032, 9032, 0
580, 10, 9127, 9127, 0
590, 10, 9143, 9143, 0
600, 10, 8957, 8957, 0
601, 1, 850, 850, 0
