elapsed, window, total, successful, failed
10, 10, 6336, 6034, 302
20, 10, 8924, 8450, 474
30, 10, 18954, 18890, 64
40, 10, 24011, 24011, 0
50, 10, 24355, 24355, 0
60, 10, 28574, 28574, 0
70, 10, 35835, 35835, 0
80, 10, 43429, 43429, 0
90, 10, 43215, 43215, 0
100, 10, 43043, 43043, 0
110, 10, 43135, 43135, 0
120, 10, 42513, 42513, 0
130, 10, 42677, 42677, 0
140, 10, 43347, 43347, 0
150, 10, 41893, 41893, 0
160, 10, 42899, 42899, 0
170, 10, 43197, 43197, 0
180, 10, 43510, 43510, 0
190, 10, 43086, 43086, 0
200, 10, 43506, 43506, 0
210, 10, 42245, 42245, 0
220, 10, 43701, 43701, 0
230, 10, 42899, 42899, 0
240, 10, 43904, 43904, 0
250, 10, 43477, 43477, 0
260, 10, 43467, 43467, 0
270, 10, 42610, 42610, 0
280, 10, 43245, 43245, 0
290, 10, 43316, 43316, 0
300, 10, 44210, 44210, 0
310, 10, 43607, 43607, 0
320, 10, 42830, 42830, 0
330, 10, 43023, 43023, 0
340, 10, 42954, 42954, 0
350, 10, 42920, 42920, 0
360, 10, 42823, 42823, 0
370, 10, 43844, 43844, 0
380, 10, 42616, 42616, 0
390, 10, 43847, 43847, 0
400, 10, 42944, 42944, 0
410, 10, 43256, 43256, 0
420, 10, 43014, 43014, 0
430, 10, 43592, 43592, 0
440, 10, 43009, 43009, 0
450, 10, 43148, 43148, 0
460, 10, 41990, 41990, 0
470, 10, 41877, 41877, 0
480, 10, 43692, 43692, 0
490, 10, 43625, 43625, 0
500, 10, 43111, 43111, 0
510, 10, 43295, 43295, 0
520, 10, 43658, 43658, 0
530, 10, 43955, 43955, 0
540, 10, 43070, 43070, 0
550, 10, 42921, 42921, 0
560, 10, 43229, 43229, 0
570, 10, 43708, 43708, 0
580, 10, 43123, 43123, 0
590, 10, 42518, 42518, 0
600, 10, 42620, 42620, 0
601, 1, 4590, 4590, 0
