elapsed, window, total, successful, failed
10, 10, 5608, 5608, 0
20, 10, 8625, 8625, 0
30, 10, 9133, 9133, 0
40, 10, 12634, 12634, 0
50, 10, 21255, 21255, 0
60, 10, 25653, 25653, 0
70, 10, 28136, 28136, 0
80, 10, 32473, 32473, 0
90, 10, 37453, 37453, 0
100, 10, 42330, 42330, 0
110, 10, 53100, 53100, 0
120, 10, 54068, 54068, 0
130, 10, 55073, 55073, 0
140, 10, 55212, 55212, 0
150, 10, 55483, 55483, 0
160, 10, 55075, 55075, 0
170, 10, 54270, 54270, 0
180, 10, 54046, 54046, 0
190, 10, 55862, 55862, 0
200, 10, 55060, 55060, 0
210, 10, 54933, 54933, 0
220, 10, 53466, 53466, 0
230, 10, 55171, 55171, 0
240, 10, 56059, 56059, 0
250, 10, 55351, 55351, 0
260, 10, 54794, 54794, 0
270, 10, 55642, 55642, 0
280, 10, 54782, 54782, 0
290, 10, 55152, 55152, 0
300, 10, 56433, 56433, 0
310, 10, 55461, 55461, 0
320, 10, 53505, 53505, 0
330, 10, 55935, 55935, 0
340, 10, 55325, 55325, 0
350, 10, 55454, 55454, 0
360, 10, 54516, 54516, 0
370, 10, 55911, 55911, 0
380, 10, 56069, 56069, 0
390, 10, 54916, 54916, 0
400, 10, 54556, 54556, 0
410, 10, 54870, 54870, 0
420, 10, 53821, 53821, 0
430, 10, 55778, 55778, 0
440, 10, 55347, 55347, 0
450, 10, 56074, 56074, 0
460, 10, 54247, 54247, 0
470, 10, 55714, 55714, 0
480, 10, 54341, 54341, 0
490, 10, 55356, 55356, 0
500, 10, 54691, 54691, 0
510, 10, 54810, 54810, 0
520, 10, 54415, 54415, 0
530, 10, 54770, 54770, 0
540, 10, 55307, 55307, 0
550, 10, 54807, 54807, 0
560, 10, 56152, 56152, 0
570, 10, 55251, 55251, 0
580, 10, 55654, 55654, 0
590, 10, 57437, 57437, 0
600, 10, 57140, 57140, 0
601, 1, 5535, 5535, 0
