elapsed, window, total, successful, failed
10, 10, 4469, 4469, 0
20, 10, 4752, 4752, 0
30, 10, 4733, 4733, 0
40, 10, 4761, 4761, 0
50, 10, 4724, 4724, 0
60, 10, 4729, 4729, 0
70, 10, 4759, 4759, 0
80, 10, 4731, 4731, 0
90, 10, 4706, 4706, 0
100, 10, 4731, 4731, 0
110, 10, 4718, 4718, 0
120, 10, 4720, 4720, 0
130, 10, 4711, 4711, 0
140, 10, 4722, 4722, 0
150, 10, 4716, 4716, 0
160, 10, 4736, 4736, 0
170, 10, 4744, 4744, 0
180, 10, 4708, 4708, 0
190, 10, 4742, 4742, 0
200, 10, 4749, 4749, 0
210, 10, 4726, 4726, 0
220, 10, 4724, 4724, 0
230, 10, 4706, 4706, 0
240, 10, 4721, 4721, 0
250, 10, 4726, 4726, 0
260, 10, 4724, 4724, 0
270, 10, 4706, 4706, 0
280, 10, 4722, 4722, 0
290, 10, 4723, 4723, 0
300, 10, 4748, 4748, 0
310, 10, 4723, 4723, 0
320, 10, 4713, 4713, 0
330, 10, 4749, 4749, 0
340, 10, 4748, 4748, 0
350, 10, 4752, 4752, 0
360, 10, 4711, 4711, 0
370, 10, 4749, 4749, 0
380, 10, 4718, 4718, 0
390, 10, 4739, 4739, 0
400, 10, 4713, 4713, 0
410, 10, 4733, 4733, 0
420, 10, 4773, 4773, 0
430, 10, 4707, 4707, 0
440, 10, 4722, 4722, 0
450, 10, 4718, 4718, 0
460, 10, 4719, 4719, 0
470, 10, 4759, 4759, 0
480, 10, 4713, 4713, 0
490, 10, 4737, 4737, 0
500, 10, 4724, 4724, 0
510, 10, 4757, 4757, 0
520, 10, 4712, 4712, 0
530, 10, 4734, 4734, 0
540, 10, 4731, 4731, 0
550, 10, 4716, 4716, 0
560, 10, 4789, 4789, 0
570, 10, 4756, 4756, 0
580, 10, 4765, 4765, 0
590, 10, 4793, 4793, 0
600, 10, 4770, 4770, 0
601, 1, 415, 415, 0
